I,J,X,Y,zMin,zMax,vip1,vip2,vip3
27,4,27500.000000,4500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,5,27500.000000,5500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,6,27500.000000,6500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,7,27500.000000,7500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,8,27500.000000,8500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
27,9,27500.000000,9500.000000,72.000000,77.000000,0.500000,4.499999,4.499999
28,0,28500.000000,500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,1,28500.000000,1500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,2,28500.000000,2500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,3,28500.000000,3500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,4,28500.000000,4500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,5,28500.000000,5500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,6,28500.000000,6500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,7,28500.000000,7500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,8,28500.000000,8500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
28,9,28500.000000,9500.000000,71.000000,76.000000,0.500000,4.499999,4.499999
29,0,29500.000000,500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,1,29500.000000,1500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,2,29500.000000,2500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,3,29500.000000,3500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,4,29500.000000,4500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,5,29500.000000,5500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,6,29500.000000,6500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,7,29500.000000,7500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,8,29500.000000,8500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
29,9,29500.000000,9500.000000,70.000000,75.000000,0.500000,4.499999,4.499999
30,0,30500.000000,500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,1,30500.000000,1500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,2,30500.000000,2500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,3,30500.000000,3500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,4,30500.000000,4500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,5,30500.000000,5500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,6,30500.000000,6500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,7,30500.000000,7500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,8,30500.000000,8500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
30,9,30500.000000,9500.000000,69.000000,74.000000,0.500000,4.499999,4.499999
31,0,31500.000000,500.000000,68.000000,73.000000,0.500000,4.499999,4.499999
